domain,db_name,db_host,nid,platform_path
arcticplants.myspecies.info,arcticplantsmysp,157.140.2.171,1340.0,/var/aegir/platforms/scratchpads-2.10.1
echimed.myspecies.info,echimedmyspecies,157.140.2.171,3581.0,/var/aegir/platforms/scratchpads-2.10.1
gsrnematoda.myspecies.info,gsrnematodamyspe,157.140.2.153,2503.0,/var/aegir/platforms/scratchpads-2.10.1
virola.myspecies.info,virolamyspeciesi,157.140.2.171,31115.0,/var/aegir/platforms/scratchpads-2.10.1
compositaeuy.myspecies.info,compositaeuymysp,157.140.2.171,13044.0,/var/aegir/platforms/scratchpads-2.10.1
forest.myspecies.info,forestmyspeciesi,157.140.2.153,32296.0,/var/aegir/platforms/scratchpads-2.9.15
ibercurcus.myspecies.info,ibercurcusmyspec,157.140.2.171,2649.0,/var/aegir/platforms/scratchpads-2.10.1
scleractinia-orig.myspecies.info,scleractiniaor_0,157.140.2.153,3077.0,/var/aegir/platforms/scratchpads-2.10.1
uorpmn.myspecies.info,uorpmnmyspecie_0,157.140.2.153,1832.0,/var/aegir/platforms/scratchpads-2.10.1
milichiidae.info,milichiidaeinf_0,157.140.2.153,2753.0,/var/aegir/platforms/scratchpads-2.10.1
brazilianfungi.myspecies.info,brazilianfungimy,157.140.2.171,4711.0,/var/aegir/platforms/scratchpads-2.10.1
sciaridae.myspecies.info,sciaridaemyspe_0,157.140.2.171,3801.0,/var/aegir/platforms/scratchpads-2.10.1
biosensors.myspecies.info,biosensorsmyspec,157.140.2.153,1896.0,/var/aegir/platforms/scratchpads-2.10.1
fishesoftexas.myspecies.info,fishesoftexasmys,157.140.2.153,2191.0,/var/aegir/platforms/scratchpads-2.10.1
elmidae.myspecies.info,elmidaemyspecies,157.140.2.153,4462.0,/var/aegir/platforms/scratchpads-2.10.1
eolhotlist.myspecies.info,eolhotlistmyspec,157.140.2.171,1796.0,/var/aegir/platforms/scratchpads-2.10.1
nnb.myspecies.info,nnbmyspeciesinfo,157.140.2.153,2255.0,/var/aegir/platforms/scratchpads-2.10.1
empidoidea.info,empidoideainfo,157.140.2.171,2000.0,/var/aegir/platforms/scratchpads-2.10.1
taygetis.myspecies.info,taygetismyspec_0,157.140.2.164,3517.0,/var/aegir/platforms/scratchpads-2.10.1
synlestidae.myspecies.info,synlestidaemys_0,157.140.2.153,3625.0,/var/aegir/platforms/scratchpads-2.10.1
madridhesperiidae.myspecies.info,madridhesperiida,157.140.2.153,2721.0,/var/aegir/platforms/scratchpads-2.10.1
cyperaceae.e-monocot.org,cyperaceaeemonoc,157.140.2.171,2207.0,/var/aegir/platforms/scratchpads-2.10.1
convolvulus.myspecies.info,convolvulusmyspe,157.140.2.164,3445.0,/var/aegir/platforms/scratchpads-2.10.1
sandbox.scratchpads.org,sandboxscratch_1,157.140.2.153,36152.0,/var/aegir/platforms/scratchpads-2.9.17.1
pterophoroidea.myspecies.info,pterophoroideamy,157.140.2.164,2629.0,/var/aegir/platforms/scratchpads-2.10.1
data.neomaps.org,dataneomapsorg,157.140.2.164,2343.0,/var/aegir/platforms/scratchpads-2.10.1
desmodieae.myspecies.info,desmodieaemysp_0,157.140.2.153,2399.0,/var/aegir/platforms/scratchpads-2.10.1
cats.myspecies.info,catsmyspeciesinf,157.140.2.171,12985.0,/var/aegir/platforms/scratchpads-2.10.1
thaiasteraceae.myspecies.info,thaiasteraceae_0,157.140.2.164,1780.0,/var/aegir/platforms/scratchpads-2.10.1
campanulaceae.myspecies.info,campanulaceaemys,157.140.2.164,2701.0,/var/aegir/platforms/scratchpads-2.10.1
cerambycidae.miza-ucv.org.ve,cerambycidaemiza,157.140.2.153,4390.0,/var/aegir/platforms/scratchpads-2.10.1
ipomoeeae.myspecies.info,ipomoeeaemyspeci,157.140.2.153,4306.0,/var/aegir/platforms/scratchpads-2.10.1
hypogymnia.myspecies.info,hypogymniamyspec,157.140.2.164,1848.0,/var/aegir/platforms/scratchpads-2.10.1
endemicseriocaulon.myspecies.info,endemicseriocaul,157.140.2.153,3141.0,/var/aegir/platforms/scratchpads-2.10.1
thaipalm.myspecies.info,thaipalmmyspec_0,157.140.2.153,3765.0,/var/aegir/platforms/scratchpads-2.10.1
threatenedplants.myspecies.info,threatenedplan_0,157.140.2.171,3797.0,/var/aegir/platforms/scratchpads-2.10.1
araceae.myspecies.info,araceaemyspecies,157.140.2.153,2055.0,/var/aegir/platforms/scratchpads-2.10.1
tabanidae.myspecies.info,tabanidaemyspe_0,157.140.2.171,1620.0,/var/aegir/platforms/scratchpads-2.10.1
selaginella.myspecies.info,selaginellamys_0,157.140.2.153,2625.0,/var/aegir/platforms/scratchpads-2.10.1
timbercopse.myspecies.info,timbercopsemys_0,157.140.2.153,2669.0,/var/aegir/platforms/scratchpads-2.10.1
lobostemon.myspecies.info,lobostemonmyspec,157.140.2.164,3297.0,/var/aegir/platforms/scratchpads-2.10.1
atdnmorphospecies.myspecies.info,atdnmorphospecie,157.140.2.164,2283.0,/var/aegir/platforms/scratchpads-2.10.1
floraofgibraltar.myspecies.info,floraofgibraltar,157.140.2.164,4262.0,/var/aegir/platforms/scratchpads-2.10.1
aliens-hb.myspecies.info,alienshbmyspecie,157.140.2.153,3225.0,/var/aegir/platforms/scratchpads-2.10.1
malaypeninsularsnail.myspecies.info,malaypeninsula_0,157.140.2.164,1452.0,/var/aegir/platforms/scratchpads-2.10.1
fagaceae.myspecies.info,fagaceaemyspecie,157.140.2.164,4322.0,/var/aegir/platforms/scratchpads-2.10.1
strofylia.myspecies.info,strofyliamyspe_0,157.140.2.171,2609.0,/var/aegir/platforms/scratchpads-2.10.1
angiosperms.myspecies.info,angiospermsmyspe,157.140.2.164,3009.0,/var/aegir/platforms/scratchpads-2.10.1
iridaceae.e-monocot.org,iridaceaeemonoco,157.140.2.164,1119.0,/var/aegir/platforms/scratchpads-2.10.1
projectwoop.myspecies.info,projectwoopmyspe,157.140.2.164,26229.0,/var/aegir/platforms/scratchpads-2.10.1
thai-plants.myspecies.info,thaiplantsmysp_0,157.140.2.153,4579.0,/var/aegir/platforms/scratchpads-2.10.1
calyptraeids.myspecies.info,calyptraeidsmysp,157.140.2.153,3429.0,/var/aegir/platforms/scratchpads-2.10.1
thelichensdirectory.myspecies.info,thelichensdire_1,157.140.2.164,16662.0,/var/aegir/platforms/scratchpads-2.10.1
thai-fwsponges.myspecies.info,thaifwspongesm_0,157.140.2.171,4611.0,/var/aegir/platforms/scratchpads-2.10.1
worldwidediatoms.myspecies.info,worldwidediato_0,157.140.2.153,1596.0,/var/aegir/platforms/scratchpads-2.10.1
sciaroidea.info,sciaroideainfo_2,157.140.2.171,1227.0,/var/aegir/platforms/scratchpads-2.10.1
trichoptera.myspecies.info,trichopteramys_0,157.140.2.171,1652.0,/var/aegir/platforms/scratchpads-2.10.1
beesofcanada.myspecies.info,beesofcanadamysp,157.140.2.164,43233.0,/var/aegir/platforms/scratchpads-2.10.1
