domain,db_name,db_host,nid,platform_path
fossilinsects.net,fossilinsectsnet,157.140.2.171,6089.0,/var/aegir/platforms/scratchpads-2.9.17.1
lepidopteragr.myspecies.info,lepidopteragrmys,157.140.2.171,2047.0,/var/aegir/platforms/scratchpads-2.10.1
psl.myspecies.info,pslmyspeciesinfo,157.140.2.164,1444.0,/var/aegir/platforms/scratchpads-2.10.1
wpmutillidae.myspecies.info,wpmutillidaemysp,157.140.2.171,16641.0,/var/aegir/platforms/scratchpads-2.10.1
yothai.myspecies.info,yothaimyspecie_0,157.140.2.153,4631.0,/var/aegir/platforms/scratchpads-2.10.1
urostylididae.myspecies.info,urostylididaem_0,157.140.2.164,1628.0,/var/aegir/platforms/scratchpads-2.10.1
derris.myspecies.info,derrismyspeciesi,157.140.2.164,3637.0,/var/aegir/platforms/scratchpads-2.10.1
hortus.myspecies.info,hortusmyspeciesi,157.140.2.164,6067.0,/var/aegir/platforms/scratchpads-2.10.1
truchasmexicanas.myspecies.info,truchasmexicanas,157.140.2.164,2953.0,/var/aegir/platforms/scratchpads-2.10.1
tenebphylo.myspecies.info,tenebphylomysp_0,157.140.2.164,3145.0,/var/aegir/platforms/scratchpads-2.10.1
sciomyzidae.myspecies.info,sciomyzidaemys_0,157.140.2.164,4058.0,/var/aegir/platforms/scratchpads-2.10.1
acianthinae.myspecies.info,acianthinaemyspe,157.140.2.153,2235.0,/var/aegir/platforms/scratchpads-2.10.1
babotanica.myspecies.info,babotanicamyspec,157.140.2.171,3857.0,/var/aegir/platforms/scratchpads-2.10.1
lnhsgallcollection.myspecies.info,lnhsgallcollec_0,157.140.2.153,16659.0,/var/aegir/platforms/scratchpads-2.10.1
nz-hymenoptera.myspecies.info,nzhymenopteramys,157.140.2.164,1203.0,/var/aegir/platforms/scratchpads-2.10.1
saotomeprincipe.myspecies.info,saotomeprincip_0,157.140.2.153,6143.0,/var/aegir/platforms/scratchpads-2.10.1
greekants.myspecies.info,greekantsmyspeci,157.140.2.153,1680.0,/var/aegir/platforms/scratchpads-2.10.1
emollusks.myspecies.info,emollusksmyspeci,157.140.2.153,2451.0,/var/aegir/platforms/scratchpads-2.10.1
chalcidoidea.myspecies.info,chalcidoideamysp,157.140.2.153,3257.0,/var/aegir/platforms/scratchpads-2.10.1
synthesys3.myspecies.info,synthesys3mysp_0,157.140.2.171,2969.0,/var/aegir/platforms/scratchpads-2.10.1
ciliate.myspecies.info,ciliatemyspecies,157.140.2.153,2873.0,/var/aegir/platforms/scratchpads-2.10.1
southafricanaquaticecosystems.myspecies.info,southafricanaq_0,157.140.2.164,2475.0,/var/aegir/platforms/scratchpads-2.10.1
holarctic.ostracoda.net,holarcticostraco,157.140.2.153,1984.0,/var/aegir/platforms/scratchpads-2.10.1
aconitum.myspecies.info,aconitummyspec_1,157.140.2.164,4010.0,/var/aegir/platforms/scratchpads-2.9.17.1
papyrus.myspecies.info,papyrusmyspeci_0,157.140.2.164,3889.0,/var/aegir/platforms/scratchpads-2.10.1
collectionsforall.myspecies.info,collectionsforal,157.140.2.153,2263.0,/var/aegir/platforms/scratchpads-2.10.1
medicinal-plant.myspecies.info,medicinalplantmy,157.140.2.164,3409.0,/var/aegir/platforms/scratchpads-2.10.1
rumrada.myspecies.info,rumradamyspeci_0,157.140.2.164,3869.0,/var/aegir/platforms/scratchpads-2.10.1
phasmid-study-group.org,phasmidstudygr_0,157.140.2.164,1055.0,/var/aegir/platforms/scratchpads-2.10.1
mantodea.myspecies.info,mantodeamyspecie,157.140.2.164,3353.0,/var/aegir/platforms/scratchpads-2.10.1
landscaping.myspecies.info-2022-06-22,landscapingmyspe,157.140.2.153,,
gadus.myspecies.info,gadusmyspeciesin,157.140.2.164,6128.0,/var/aegir/platforms/scratchpads-rob-email
truebugs.myspecies.info,truebugsmyspec_0,157.140.2.153,1940.0,/var/aegir/platforms/scratchpads-2.10.1
mastersep.myspecies.info,mastersepmyspeci,157.140.2.153,1272.0,/var/aegir/platforms/scratchpads-2.10.1
rareguam.myspecies.info,rareguammyspec_0,157.140.2.171,1556.0,/var/aegir/platforms/scratchpads-2.10.1
nhmnematodes.myspecies.info,nhmnematodesmysp,157.140.2.164,1087.0,/var/aegir/platforms/scratchpads-2.10.1
fossilcrustaceadb.myspecies.info,fossilcrustacead,157.140.2.153,3193.0,/var/aegir/platforms/scratchpads-2.10.1
northeastflora.myspecies.info,northeastfloramy,157.140.2.164,1488.0,/var/aegir/platforms/scratchpads-2.10.1
legumes-singapore.myspecies.info,legumessingapore,157.140.2.164,4607.0,/var/aegir/platforms/scratchpads-2.10.1
neotropicalcicadellidae.myspecies.info,neotropicalcicad,157.140.2.164,2745.0,/var/aegir/platforms/scratchpads-2.10.1
worachat.myspecies.info,worachatmyspec_0,157.140.2.164,2363.0,/var/aegir/platforms/scratchpads-2.10.1
staging.myspecies.info,stagingmyspecies,157.140.2.164,22789.0,/var/aegir/platforms/scratchpads-2.10.1
poaceae.e-monocot.org,poaceaeemonoco_0,157.140.2.171,3689.0,/var/aegir/platforms/scratchpads-2.10.1
orthalicoidea.myspecies.info,orthalicoideamys,157.140.2.171,3165.0,/var/aegir/platforms/scratchpads-2.10.1
newworldcarabidae.myspecies.info,newworldcarabida,157.140.2.153,1788.0,/var/aegir/platforms/scratchpads-2.10.1
darwin.myspecies.info,darwinmyspeciesi,157.140.2.153,2303.0,/var/aegir/platforms/scratchpads-2.10.1
maesa.e-monocot.org,maesaemonocotorg,157.140.2.171,3273.0,/var/aegir/platforms/scratchpads-2.10.1
twlep.myspecies.info,twlepmyspecies_0,157.140.2.153,3537.0,/var/aegir/platforms/scratchpads-2.10.1
aeridinae.e-monocot.org,aeridinaeemono_0,157.140.2.171,1267.0,/var/aegir/platforms/scratchpads-2.10.1
africanfreshwater.org,africanfreshwate,157.140.2.153,5047.0,/var/aegir/platforms/scratchpads-2.10.1
anolislizards.myspecies.info,anolislizardsmys,157.140.2.153,3201.0,/var/aegir/platforms/scratchpads-2.10.1
mrp.myspecies.info,mrpmyspeciesin_0,157.140.2.171,4122.0,/var/aegir/platforms/scratchpads-2.10.1
kinmen-minefield.myspecies.info,kinmenminefieldm,157.140.2.153,3117.0,/var/aegir/platforms/scratchpads-2.10.1
orchid.myspecies.info,orchidmyspecie_0,157.140.2.164,1944.0,/var/aegir/platforms/scratchpads-2.10.1
figweb.myspecies.info,figwebmyspeciesi,157.140.2.171,2295.0,/var/aegir/platforms/scratchpads-2.10.1
andropogoneae.myspecies.info,andropogoneaemys,157.140.2.171,4290.0,/var/aegir/platforms/scratchpads-2.10.1
corals.cordioea.info,coralscordioeain,157.140.2.171,2537.0,/var/aegir/platforms/scratchpads-2.10.1
wallacefund.myspecies.info,wallacefundmys_0,157.140.2.164,3469.0,/var/aegir/platforms/scratchpads-2.10.1
britishfleas.myspecies.info,britishfleasmysp,157.140.2.171,4663.0,/var/aegir/platforms/scratchpads-2.10.1
mosquito-taxonomic-inventory.info,mosquitotaxono_0,157.140.2.164,4947.0,/var/aegir/platforms/scratchpads-2.10.1
hip-db.myspecies.info,hipdbmyspeciesin,157.140.2.164,2869.0,/var/aegir/platforms/scratchpads-2.10.1
formicidae-bg.myspecies.info,formicidaebgmy_0,157.140.2.164,2533.0,/var/aegir/platforms/scratchpads-2.10.1
teloganodidae.myspecies.info,teloganodidaem_0,157.140.2.153,2829.0,/var/aegir/platforms/scratchpads-2.10.1
pelagics.myspecies.info,pelagicsmyspec_0,157.140.2.153,3573.0,/var/aegir/platforms/scratchpads-2.10.1
scarabindia.myspecies.info,scarabindiamys_0,157.140.2.164,4635.0,/var/aegir/platforms/scratchpads-2.10.1
solariellidae.myspecies.info,solariellidaem_0,157.140.2.171,2223.0,/var/aegir/platforms/scratchpads-2.10.1
echinosteliales.myspecies.info,echinostelialesm,157.140.2.171,2195.0,/var/aegir/platforms/scratchpads-2.10.1
abrusinthailand.myspecies.info,abrusinthailandm,157.140.2.171,4571.0,/var/aegir/platforms/scratchpads-2.10.1
smilacaceae.e-monocot.org,smilacaceaeemo_0,157.140.2.153,3333.0,/var/aegir/platforms/scratchpads-2.10.1
polycladida.myspecies.info,polycladidamys_0,157.140.2.153,1584.0,/var/aegir/platforms/scratchpads-2.10.1
curcumathailand.myspecies.info,curcumathailandm,157.140.2.153,3017.0,/var/aegir/platforms/scratchpads-2.10.1
myrtaceae.myspecies.info,myrtaceaemyspeci,157.140.2.164,1263.0,/var/aegir/platforms/scratchpads-2.10.1
weevil.info,weevilinfo_0,157.140.2.171,1668.0,/var/aegir/platforms/scratchpads-2.10.1
invasive.myspecies.info,invasivemyspecie,157.140.2.171,3149.0,/var/aegir/platforms/scratchpads-2.10.1
syrphidaecolombia.myspecies.info,syrphidaecolom_0,157.140.2.171,3465.0,/var/aegir/platforms/scratchpads-2.10.1
cypridinidae.myspecies.info,cypridinidaemysp,157.140.2.153,3713.0,/var/aegir/platforms/scratchpads-2.10.1
scratchpads.eu,scratchpadseu,157.140.2.153,1018.0,/var/aegir/platforms/scratchpads_eu
smithsonianorchids.myspecies.info,smithsonianorc_0,157.140.2.153,1392.0,/var/aegir/platforms/scratchpads-2.10.1
mbgl-algae.myspecies.info,mbglalgaemyspe_0,157.140.2.171,9641.0,/var/aegir/platforms/scratchpads-2.10.1
agromyzid.myspecies.info,agromyzidmyspeci,157.140.2.164,3617.0,/var/aegir/platforms/scratchpads-2.10.1
legumninosae.myspecies.info,legumninosaemysp,157.140.2.164,4603.0,/var/aegir/platforms/scratchpads-2.10.1
hortus2.myspecies.info,hortus2myspecies,157.140.2.171,6074.0,/var/aegir/platforms/scratchpads-2.10.1
omanflora.myspecies.info,omanfloramyspeci,157.140.2.171,1740.0,/var/aegir/platforms/scratchpads-2.10.1
lysianassidae.myspecies.info,lysianassidaemys,157.140.2.153,2455.0,/var/aegir/platforms/scratchpads-2.10.1
gparvifloraquadriradiata.myspecies.info,gparvifloraquadr,157.140.2.153,3525.0,/var/aegir/platforms/scratchpads-2.10.1
poissongabon.info,poissongabonin_0,157.140.2.171,2985.0,/var/aegir/platforms/scratchpads-2.10.1
buccinids.myspecies.info,buccinidsmyspeci,157.140.2.153,3789.0,/var/aegir/platforms/scratchpads-2.10.1
hypericum.myspecies.info,hypericummyspeci,157.140.2.171,2781.0,/var/aegir/platforms/scratchpads-2.10.1
ircn-bc.myspecies.info,ircnbcmyspeciesi,157.140.2.164,2171.0,/var/aegir/platforms/scratchpads-2.10.1
blattodea-culture-group.org,blattodeaculture,157.140.2.171,1207.0,/var/aegir/platforms/scratchpads-2.10.1
seargentina.myspecies.info,seargentinamys_0,157.140.2.171,1135.0,/var/aegir/platforms/scratchpads-2.10.1
www.nautiloidea.cz,nautiloideacz_0,157.140.2.171,2187.0,/var/aegir/platforms/scratchpads-2.10.1
bogidiellids.myspecies.info,bogidiellidsmysp,157.140.2.164,4803.0,/var/aegir/platforms/scratchpads-2.10.1
nepticuloidea2.info,,,,
mollusca.myspecies.info,molluscamyspec_0,157.140.2.171,4110.0,/var/aegir/platforms/scratchpads-2.10.1
plantdiversityofphufah.myspecies.info,plantdiversity_0,157.140.2.171,2685.0,/var/aegir/platforms/scratchpads-2.10.1
pacleps.myspecies.info,paclepsmyspecies,157.140.2.153,3981.0,/var/aegir/platforms/scratchpads-2.10.1
dioscoreaceae.e-monocot.org,dioscoreaceaee_0,157.140.2.171,1816.0,/var/aegir/platforms/scratchpads-2.10.1
conservation.myspecies.info,conservationmysp,157.140.2.153,3417.0,/var/aegir/platforms/scratchpads-2.10.1
chrysomelidae.miza-ucv.org.ve,chrysomelidaem_0,157.140.2.171,4214.0,/var/aegir/platforms/scratchpads-2.10.1
apocynaceae.myspecies.info,apocynaceaemyspe,157.140.2.171,3393.0,/var/aegir/platforms/scratchpads-2.10.1
malpighiales.myspecies.info,malpighialesmysp,157.140.2.164,3805.0,/var/aegir/platforms/scratchpads-2.10.1
biotalent.myspecies.info,biotalentmyspeci,157.140.2.171,4747.0,/var/aegir/platforms/scratchpads-2.10.1
continenticola.myspecies.info,continenticolamy,157.140.2.164,2087.0,/var/aegir/platforms/scratchpads-2.10.1
euscorpita.myspecies.info,euscorpitamyspec,157.140.2.171,2665.0,/var/aegir/platforms/scratchpads-2.10.1
pericallisrevision.myspecies.info,pericallisrevi_0,157.140.2.153,3785.0,/var/aegir/platforms/scratchpads-2.10.1
lecythidaceae.myspecies.info,lecythidaceaemys,157.140.2.153,1476.0,/var/aegir/platforms/scratchpads-2.10.1
tephrosia.myspecies.info,tephrosiamyspe_0,157.140.2.153,3501.0,/var/aegir/platforms/scratchpads-2.10.1
scatopsoidea.myspecies.info,scatopsoideamy_0,157.140.2.153,2491.0,/var/aegir/platforms/scratchpads-2.10.1
sacoglossa.myspecies.info,sacoglossamysp_0,157.140.2.153,1660.0,/var/aegir/platforms/scratchpads-2.10.1
nagoyaprotocol.myspecies.info,nagoyaprotocolmy,157.140.2.171,4498.0,/var/aegir/platforms/scratchpads-2.10.1
tien-shan.myspecies.info,tienshanmyspec_0,157.140.2.164,4474.0,/var/aegir/platforms/scratchpads-2.10.1
sandbox.scratchpads.eu,,,,
clcdb2.myspecies.info,clcdb2myspeciesi,157.140.2.153,4723.0,/var/aegir/platforms/scratchpads-2.10.1
nmstypes.myspecies.info,nmstypesmyspecie,157.140.2.164,2075.0,/var/aegir/platforms/scratchpads-2.10.1
nantiyaag.myspecies.info,nantiyaagmyspeci,157.140.2.153,2805.0,/var/aegir/platforms/scratchpads-2.10.1
alice.myspecies.info,alicemyspeciesin,157.140.2.164,2008.0,/var/aegir/platforms/scratchpads-2.10.1
efiru.myspecies.info,efirumyspecies_0,157.140.2.153,29887.0,/var/aegir/platforms/scratchpads-2.10.1
host-parasite.myspecies.info,hostparasitemy_1,157.140.2.164,9504.0,/var/aegir/platforms/scratchpads-2.10.1
dolichopodidae.myspecies.info,dolichopodidae_1,157.140.2.171,3549.0,/var/aegir/platforms/scratchpads-2.10.1
macrostomorpha.info,macrostomorpha_0,157.140.2.171,1692.0,/var/aegir/platforms/scratchpads-2.10.1
ethnobotanyandtraditionalmedicine.myspecies.info,ethnobotanyandtr,157.140.2.171,3197.0,/var/aegir/platforms/scratchpads-2.10.1
solanaceaesource.org,solanaceaesour_0,157.140.2.164,6113.0,/var/aegir/platforms/scratchpads-2.9.17.1
fairyshrimp.myspecies.info,fairyshrimpmys_1,157.140.2.171,4599.0,/var/aegir/platforms/scratchpads-2.10.1
apotheca.myspecies.info,apothecamyspecie,157.140.2.153,3649.0,/var/aegir/platforms/scratchpads-2.10.1
inforbiomares.myspecies.info,inforbiomaresmys,157.140.2.153,16835.0,/var/aegir/platforms/scratchpads-2.10.1
southernmagnolias.myspecies.info,southernmagnol_0,157.140.2.171,1852.0,/var/aegir/platforms/scratchpads-2.10.1
cephbase.eol.org,cephbaseeolorg_0,157.140.2.164,2243.0,/var/aegir/platforms/scratchpads-2.10.1
ostracodaiceland.myspecies.info,ostracodaiceland,157.140.2.171,1712.0,/var/aegir/platforms/scratchpads-2.10.1
iberiancavefauna.myspecies.info,iberiancavefauna,157.140.2.153,3357.0,/var/aegir/platforms/scratchpads-2.10.1
heteroptera.myspecies.info,heteropteramyspe,157.140.2.164,1936.0,/var/aegir/platforms/scratchpads-2.10.1
acanthocephala.myspecies.info,acanthocephala_1,157.140.2.164,1648.0,/var/aegir/platforms/scratchpads-2.10.1
lissotes.myspecies.info,lissotesmyspecie,157.140.2.171,3725.0,/var/aegir/platforms/scratchpads-2.10.1
pnwlepturines.myspecies.info,pnwlepturinesm_0,157.140.2.164,1792.0,/var/aegir/platforms/scratchpads-2.10.1
ukrlichenicolous.myspecies.info,ukrlichenicolous,157.140.2.153,31044.0,/var/aegir/platforms/scratchpads-2.10.1
anthophila.myspecies.info,anthophilamyspec,157.140.2.171,43090.0,/var/aegir/platforms/scratchpads-2.10.1
crisiidae.myspecies.info,crisiidaemyspeci,157.140.2.164,1672.0,/var/aegir/platforms/scratchpads-2.10.1
mlh.myspecies.info,mlhmyspeciesinfo,157.140.2.164,31112.0,/var/aegir/platforms/scratchpads-2.10.1
eurybia.myspecies.info,eurybiamyspecies,157.140.2.153,3753.0,/var/aegir/platforms/scratchpads-2.10.1
plummersislandcarabidae.myspecies.info,plummersisland_0,157.140.2.164,2845.0,/var/aegir/platforms/scratchpads-2.10.1
ampullariidae.myspecies.info,ampullariidaemys,157.140.2.164,3049.0,/var/aegir/platforms/scratchpads-2.10.1
eriocaulaceaethailand.myspecies.info,eriocaulaceaetha,157.140.2.171,2777.0,/var/aegir/platforms/scratchpads-2.10.1
drosophilidae.myspecies.info,drosophilidaemys,157.140.2.153,4202.0,/var/aegir/platforms/scratchpads-2.10.1
indiareeffishes.myspecies.info,indiareeffishesm,157.140.2.171,3521.0,/var/aegir/platforms/scratchpads-2.10.1
agromyzidae.myspecies.info,agromyzidaemys_0,157.140.2.171,16616.0,/var/aegir/platforms/scratchpads-2.10.1
salticidaeuy.myspecies.info,salticidaeuymy_0,157.140.2.164,13032.0,/var/aegir/platforms/scratchpads-2.10.1
medicinalplants.myspecies.info,medicinalplantsm,157.140.2.153,2487.0,/var/aegir/platforms/scratchpads-2.10.1
archaeognatha.myspecies.info,archaeognathamys,157.140.2.164,2689.0,/var/aegir/platforms/scratchpads-2.10.1
strumigenys.myspecies.info,strumigenysmys_0,157.140.2.171,22614.0,/var/aegir/platforms/scratchpads-2.10.1
isoetes.myspecies.info,isoetesmyspecies,157.140.2.164,3705.0,/var/aegir/platforms/scratchpads-2.10.1
finlandoribatida.myspecies.info,finlandoribatida,157.140.2.171,1456.0,/var/aegir/platforms/scratchpads-2.10.1
costaricaninverts.info,costaricaninvert,157.140.2.171,3909.0,/var/aegir/platforms/scratchpads-2.10.1
nepticuloidea5.myspecies.info,nepticuloidea5my,157.140.2.164,4731.0,/var/aegir/platforms/scratchpads-2.10.1
bormene.myspecies.info,bormenemyspecies,157.140.2.164,2327.0,/var/aegir/platforms/scratchpads-2.10.1
ecuherb.myspecies.info,ecuherbmyspecies,157.140.2.153,1284.0,/var/aegir/platforms/scratchpads-2.10.1
coreoidea.myspecies.info,coreoideamyspeci,157.140.2.153,2997.0,/var/aegir/platforms/scratchpads-2.10.1
aphodiinae.myspecies.info,aphodiinaemyspec,157.140.2.171,2143.0,/var/aegir/platforms/scratchpads-2.10.1
alismataceae.e-monocot.org,alismataceaeemon,157.140.2.164,1912.0,/var/aegir/platforms/scratchpads-2.10.1
seahorse.myspecies.info,seahorsemyspec_0,157.140.2.164,2857.0,/var/aegir/platforms/scratchpads-2.10.1
nocturnalichs.myspecies.info,nocturnalichsmys,157.140.2.153,3473.0,/var/aegir/platforms/scratchpads-2.10.1
songkhla-limestone-herbs.myspecies.info,songkhlalimest_0,157.140.2.164,4623.0,/var/aegir/platforms/scratchpads-2.10.1
lamiaceae.myspecies.info,lamiaceaemyspeci,157.140.2.153,1624.0,/var/aegir/platforms/scratchpads-2.10.1
ethoikos.myspecies.info,ethoikosmyspecie,157.140.2.164,1684.0,/var/aegir/platforms/scratchpads-2.10.1
ubsc.myspecies.info,ubscmyspeciesi_0,157.140.2.164,3481.0,/var/aegir/platforms/scratchpads-2.10.1
antkey.org,antkeyorg,157.140.2.153,6079.0,/var/aegir/platforms/scratchpads-2.10.1
sipuncula.myspecies.info,sipunculamyspe_0,157.140.2.171,1800.0,/var/aegir/platforms/scratchpads-2.10.1
hawaiilandsnails.myspecies.info,hawaiilandsnails,157.140.2.171,3437.0,/var/aegir/platforms/scratchpads-2.10.1
opisthobranchia.myspecies.info,opisthobranchi_0,157.140.2.153,2961.0,/var/aegir/platforms/scratchpads-2.10.1
scathophagidae.myspecies.info,scathophagidae_0,157.140.2.171,1728.0,/var/aegir/platforms/scratchpads-2.10.1
physalia.myspecies.info,physaliamyspec_0,157.140.2.164,1768.0,/var/aegir/platforms/scratchpads-2.10.1
insectafgseag.myspecies.info,insectafgseagmys,157.140.2.171,1844.0,/var/aegir/platforms/scratchpads-2.10.1
earthworms.myspecies.info,earthwormsmyspec,157.140.2.171,3233.0,/var/aegir/platforms/scratchpads-2.10.1
insectireland.myspecies.info,insectirelandmys,157.140.2.153,1127.0,/var/aegir/platforms/scratchpads-2.10.1
flora.myspecies.info,floramyspeciesin,157.140.2.164,4366.0,/var/aegir/platforms/scratchpads-2.10.1
icgf.myspecies.info,icgfmyspeciesi_1,157.140.2.164,6093.0,/var/aegir/platforms/scratchpads-2.10.1
giasipartnership.myspecies.info,giasipartnersh_1,157.140.2.164,16620.0,/var/aegir/platforms/scratchpads-2.10.1
thai-freshwater-sponges.myspecies.info,thaifreshwatersp,157.140.2.171,4639.0,/var/aegir/platforms/scratchpads-2.10.1
gab.myspecies.info,gabmyspeciesinfo,157.140.2.171,3605.0,/var/aegir/platforms/scratchpads-2.10.1
acoela.myspecies.info,acoelamyspecie_3,157.140.2.153,1820.0,/var/aegir/platforms/scratchpads-2.10.1
syrphidae.myspecies.info,syrphidaemyspe_0,157.140.2.153,2407.0,/var/aegir/platforms/scratchpads-2.10.1
cinnamomum.myspecies.info,cinnamomummyspec,157.140.2.171,1724.0,/var/aegir/platforms/scratchpads-2.10.1
neotropical-pollination.myspecies.info,neotropicalpolli,157.140.2.164,1996.0,/var/aegir/platforms/scratchpads-2.10.1
florakorea.myspecies.info,florakoreamyspec,157.140.2.164,2219.0,/var/aegir/platforms/scratchpads-2.10.1
my-lepidoptera12.myspecies.info,mylepidoptera12m,157.140.2.153,4410.0,/var/aegir/platforms/scratchpads-2.10.1
fernswa.myspecies.info,fernswamyspecies,157.140.2.171,2729.0,/var/aegir/platforms/scratchpads-2.10.1
evanioidea.myspecies.info,evanioideamyspec,157.140.2.153,43121.0,/var/aegir/platforms/scratchpads-2.10.1
olivirv.myspecies.info,olivirvmyspecies,157.140.2.153,1171.0,/var/aegir/platforms/scratchpads-2.9.17.1
caterpillars.myspecies.info,caterpillarsmysp,157.140.2.171,3137.0,/var/aegir/platforms/scratchpads-2.10.1
htc.myspecies.info,htcmyspeciesinfo,157.140.2.164,1336.0,/var/aegir/platforms/scratchpads-2.10.1
illinoismantids.myspecies.info,illinoismantidsm,157.140.2.153,3109.0,/var/aegir/platforms/scratchpads-2.10.1
ukbsc.info,ukbscinfo_0,157.140.2.171,2031.0,/var/aegir/platforms/scratchpads-2.10.1
c4cscience.myspecies.info,c4csciencemyspec,157.140.2.171,4735.0,/var/aegir/platforms/scratchpads-2.10.1
echinoderms.myspecies.info,echinodermsmyspe,157.140.2.171,2471.0,/var/aegir/platforms/scratchpads-2.10.1
citesbulbs.myspecies.info,citesbulbsmyspec,157.140.2.164,2051.0,/var/aegir/platforms/scratchpads-2.10.1
hosts.myspecies.info,hostsmyspecies_1,157.140.2.171,4807.0,/var/aegir/platforms/scratchpads-2.10.1
euphorbia.myspecies.info,euphorbiamyspe_0,157.140.2.171,22628.0,/var/aegir/platforms/scratchpads-2.10.1
baskinsecta.myspecies.info,baskinsectamyspe,157.140.2.171,4050.0,/var/aegir/platforms/scratchpads-2.10.1
phasmida.myspecies.info,phasmidamyspec_0,157.140.2.171,4550.0,/var/aegir/platforms/scratchpads-2.10.1
pheidole.myspecies.info,pheidolemyspec_0,157.140.2.164,1046.0,/var/aegir/platforms/scratchpads-2.10.1
coleoptera-bulgaria.myspecies.info,coleopterabulgar,157.140.2.164,6294.0,/var/aegir/platforms/scratchpads-2.10.1
cholevidae.myspecies.info,cholevidaemyspec,157.140.2.171,3593.0,/var/aegir/platforms/scratchpads-2.10.1
westpalbees.myspecies.info,westpalbeesmys_0,157.140.2.171,3977.0,/var/aegir/platforms/scratchpads-2.10.1
thailandsapria.myspecies.info,thailandsapria_0,157.140.2.171,2933.0,/var/aegir/platforms/scratchpads-2.10.1
katydidsfrombrazil.myspecies.info,katydidsfrombraz,157.140.2.171,1976.0,/var/aegir/platforms/scratchpads-2.10.1
acrocephalus.vaibla.net,acrocephalusva_0,157.140.2.153,4078.0,/var/aegir/platforms/scratchpads-2.10.1
ebrachiopoda.myspecies.info,ebrachiopodamysp,157.140.2.164,3745.0,/var/aegir/platforms/scratchpads-2.10.1
orapainsects.myspecies.info,orapainsectsmy_0,157.140.2.171,6291.0,/var/aegir/platforms/scratchpads-2.10.1
choreutidae.myspecies.info,choreutidaemyspe,157.140.2.164,3457.0,/var/aegir/platforms/scratchpads-2.10.1
alkcarb.myspecies.info,alkcarbmyspecies,157.140.2.164,4671.0,/var/aegir/platforms/scratchpadsmaster
floraofsaudiarabia.myspecies.info,floraofsaudiarab,157.140.2.153,6215.0,/var/aegir/platforms/scratchpads-2.10.1
soostracoda.myspecies.info,soostracodamys_0,157.140.2.171,3425.0,/var/aegir/platforms/scratchpads-2.10.1
seamphipods.myspecies.info,seamphipodsmys_0,157.140.2.164,4022.0,/var/aegir/platforms/scratchpads-2.10.1
peracarida.myspecies.info,peracaridamysp_0,157.140.2.153,3101.0,/var/aegir/platforms/scratchpads-2.10.1
fungi.myspecies.info,fungimyspecies_0,157.140.2.153,3585.0,/var/aegir/platforms/scratchpads-2.10.1
post.myspecies.info,postmyspeciesi_0,157.140.2.153,3293.0,/var/aegir/platforms/scratchpads-2.10.1
leptogastrinae.myspecies.info,leptogastrinaemy,157.140.2.171,1560.0,/var/aegir/platforms/scratchpads-2.10.1
saveauroraetna.myspecies.info,saveauroraetna_0,157.140.2.164,2351.0,/var/aegir/platforms/scratchpads-2.10.1
liquensbr.myspecies.info,liquensbrmyspeci,157.140.2.164,1071.0,/var/aegir/platforms/scratchpads-2.10.1
plantheritage.myspecies.info,plantheritagem_0,157.140.2.164,1191.0,/var/aegir/platforms/scratchpads-2.10.1
echinoderms.lifedesks.org,echinodermslifed,157.140.2.164,1276.0,/var/aegir/platforms/scratchpads-2.10.1
gentianaceae.myspecies.info,gentianaceaemysp,157.140.2.153,1908.0,/var/aegir/platforms/scratchpads-2.10.1
bombus-bg.myspecies.info,bombusbgmyspec_0,157.140.2.171,9507.0,/var/aegir/platforms/scratchpads-2.10.1
lomandroideae.e-monocot.org,lomandroideaeemo,157.140.2.153,2023.0,/var/aegir/platforms/scratchpads-2.10.1
doryctinaekey.myspecies.info,doryctinaekeym_1,157.140.2.171,2379.0,/var/aegir/platforms/scratchpads-2.10.1
cyanobacteria.myspecies.info,cyanobacteriamys,157.140.2.164,3253.0,/var/aegir/platforms/scratchpads-2.10.1
psylloidea-bg.myspecies.info,psylloideabgmy_0,157.140.2.153,4783.0,/var/aegir/platforms/scratchpads-2.10.1
thymus.myspecies.info,thymusmyspecie_0,157.140.2.171,2319.0,/var/aegir/platforms/scratchpads-2.10.1
proctotrupidae.myspecies.info,proctotrupidaemy,157.140.2.171,1980.0,/var/aegir/platforms/scratchpads-2.10.1
floraofthailand.myspecies.info,floraofthailandm,157.140.2.171,1159.0,/var/aegir/platforms/scratchpads-2.10.1
twflowers.myspecies.info,twflowersmyspe_0,157.140.2.171,3381.0,/var/aegir/platforms/scratchpads-2.10.1
zootaxa.info,zootaxainfo_0,157.140.2.164,3721.0,/var/aegir/platforms/scratchpads-2.10.1
neotropnathistory.myspecies.info,neotropnathistor,157.140.2.153,1364.0,/var/aegir/platforms/scratchpads-2.10.1
pipunculidae.myspecies.info,pipunculidaemy_0,157.140.2.153,1320.0,/var/aegir/platforms/scratchpads-2.10.1
speleobiology.myspecies.info,speleobiologym_0,157.140.2.171,3237.0,/var/aegir/platforms/scratchpads-2.10.1
juncaginaceae.myspecies.info,juncaginaceaemys,157.140.2.164,2375.0,/var/aegir/platforms/scratchpads-2.10.1
deep-reef-sponges.myspecies.info,deepreefspongesm,157.140.2.153,3513.0,/var/aegir/platforms/scratchpads-2.10.1
